CS:GO Commands List
Below is Total CS:GO's searchable list of all 3057 CS:GO console commands. Each command in our database has detailed documentation, with help and argument explanation (hover over a command to view). Click on a command's name to visit its individual page, on which you can find more information including working examples and its default setting or value.

Type the name of a command into the search box to instantly filter 3057 commands. Toggle between different views by pressing the "Card View" and "Table View" buttons. If you are looking for a more specific selection of commands, you may prefer to sort by category.

Type to search...
Name	Syntax	Description
bot_add	bot_add [T / CT] [Difficulty] [Name]	This command adds a bot to your current game. If you specify a team (T or CT), the bot will be added to that team. You can also optionally specify a difficulty and a name (if there is an existing profile).
bot_add_ct	bot_add_ct [Difficulty] [Name]	This console command adds a bot to the CT side. If the bot spawns dead, it will respawn at the start of the next round. You can optionally specify a difficulty and a name (if there is an existing profile).
bot_add_t	bot_add_t [Difficulty] [Name]	This command adds a bot to the T side. If the bot spawns dead, it will respawn at the start of the next round. You can optionally specify a difficulty and a name (if there is an existing profile).
cl_crosshairgap	cl_crosshairgap [Gap]	This console command will adjust the size of the gap in the middle of your crosshair. The smaller the value, the smaller the gap.
cl_crosshairsize	cl_crosshairsize [Size]	This command controls the length and size of the 4 lines that make up a standard crosshair. Using a low value will give your crosshair very slight lines, and using a large value makes your crosshair have very long lines.
cl_crosshairstyle	cl_crosshairstyle [Style]	This command sets the style of your crosshair such as its general shape and whether or not it opens up whenever your character moves around.
cl_crosshairthickness	cl_crosshairthickness [Thickness]	This console command customizes the thickness of your in game crosshair.
cl_hud_color	cl_hud_color [HUD Color]	This is the console command used to change and customize the color of your HUD (heads up display). It can be changed to a variety of colors, which we have listed examples for.
cl_hud_playercount_showcount	cl_hud_playercount_showcount [0 / 1]	This useful console command customizes your HUD by changing the display of players alive on each team from showing each of their Steam avatars to just showing a number for how many of each team is alive.
cl_hud_radar_scale	cl_hud_radar_scale [Radar Scale]	This useful console command controls how much room in your HUD your radar takes up. You can choose to make it a smaller feature or larger than the default value.
cl_radar_scale	cl_radar_scale [Radar Scale]	This command adjusts the scale of your radar, which affects how zoomed in or out the radar is. A lot of players use this command to zoom the radar out and have a complete view of the map.
cl_righthand	cl_righthand [0 / 1]	This is the command that moves your gun to your left hand, also known as the switch hand command. Your gun and other weapons will be on the left side of your screen, which some people prefer.
cl_showfps	cl_showfps [0 / 1]	This command produces a simple FPS (frames per second) count in the top left corner of your screen. Unlike the net_graph command, the only value shown is your FPS, which some players like for its simplicity.
demo_pause	demo_pause	This useful console command is used to pause the demo you're watching. Playback can be resumed with the command demo_resume.
demo_resume	demo_resume	This useful command is used to resume the demo you're watching, if you have previously paused it. To pause demos, use the command demo_pause.
demo_timescale	demo_timescale [Playback speed]	This command sets how quickly the demo is played. In other words, it can be used to fast forward through rounds you're not interested in watching.
demo_togglepause	demo_togglepause	Use this command when watching demos to toggle between being paused or not. The good thing about this command is then it will pause or play the demo, depending on if its running when the command is entered.
game_mode	game_mode [Game Mode]	This command can be used in conjunction with the game_type command to change the type of game you are playing (casual, deathmatch, etc). See argument information for help.
game_type	game_type [Game Type]	This command can be used with the game_mode command to change the game you are playing (e.g. arms race, competitive, etc). See argument information for combinations and help.
give	give [Weapon Code]	This command will give you the item with the specified item code. Find item codes on our give command list.
hurtme	hurtme [Damage]	This command will hurt your character with the specified amount of damage (1 = 1HP).
mp_ignore_round_win_conditions	mp_ignore_round_win_conditions [0 / 1]	This command can be used to enable and disable round win conditions. If round win conditions are disabled (ignored), then the conditions that would usually make a round end (e.g. bomb exploding, team being eliminated) will no longer make the round end - the round would last forever, until manually ended. By default, this command is disabled (meaning win conditions are not ignored).
mp_warmup_end	mp_warmup_end	This command ends the warmup.
noclip	noclip	This command will toggle noclip for your player. When in noclip, you can fly and will pass through solid objects like walls.
say	say [Message]	This command will make you say the specified message in chat.
say_team	say_team [Message]	This command will make you say the specified message in team chat.
sensitivity	sensitivity [Sensitivity]	This command sets your mouse sensitivity to the specified value.
unbind	unbind [Key]	This command removes any bind bound to the specified key.
viewmodel_fov	viewmodel_fov [FOV]	This command sets your client's FOV to the specified number. You can set your FOV to a maximum of 68 using this command. The default field of view is 60.
viewmodel_offset_x	viewmodel_offset_x [X Offset]	This command sets the X offset of your view model - i.e. how far left or right it is. Your view model is your hand (and the gun in it) that displays in first person mode. The maximum value is 2.5 and the minimum value is -2.5.
viewmodel_offset_y	viewmodel_offset_y [Y Offset]	This command sets the Y offset of your view model - i.e. how close or far from your character is. Your view model is your hand (and the gun in it) that displays in first person mode. The maximum value is 2 and the minimum value is -2.
viewmodel_offset_z	viewmodel_offset_z [Z Offset]	This command sets the Z offset of your view model - i.e. how far up or down it is. Your view model is your hand (and the gun in it) that displays in first person mode. The maximum value is 2 and the minimum value is -2.
voice_enable	voice_enable [0 / 1]	This command sets whether or not voice communication is enabled for your client. Setting this to 0 will disable voice. Default is 1 (enabled).
bind	bind [Bind Key] ["Bind Command"]	This command will bind a command, or list of commands, to a key on your keyboard or button on your mouse. Binds can make your CS:GO experience much more convenient, and is a very important command in the game.
bind_osx	bind_osx [Bind Key] ["Bind Command"]	This command will bind a command, or list of commands, to a key on your keyboard or button on your mouse. This command is for OSX (Mac).
bot_difficulty	bot_difficulty [Difficulty]	This console command sets the difficulty of any bots you add to a private server. Set this to 0 for easy bots, 1 for normal bots, 2 for hard bots and 3 for expert bots.
bot_quota	bot_quota [Amount]	This command adjusts the maximum number of bots you can have in your server. The default value is 10.
cl_crosshair_drawoutline	cl_crosshair_drawoutline [0 / 1]	This console command can be used to enable and disable the small black outline that is around your crosshair. This can enhance crosshair visibility for some players.
cl_crosshair_outlinethickness	cl_crosshair_outlinethickness [Thickness]	This useful console command adjusts how thick the outline of your crosshair is. It is an important command to adjust to ensure your aim is as good as it can be.
cl_crosshaircolor	cl_crosshaircolor [Color]	This console command sets the color that your crosshair shows up as. You can set a value between 0 and 4.
cl_draw_only_deathnotices	cl_draw_only_deathnotices [0 / 1]	This console command is especially useful for CS:GO fragmovie makers, as it strips down the UI to only include the crosshair and the kill feed. These are the two things needed in videos.
cl_radar_always_centered	cl_radar_always_centered [0 / 1]	This command decided whether or not your radar is always centered to your location. Turning this feature off can be useful, as when you're by the edge of the map less of the radar's space is taken up by empty space, meaning you can see your surroundings more clearly.
